poi_id,name,type,lon,lat,district
B0FFG4CK5T,胖子大肚水饺锅贴(天山南路店),快餐厅,117.280196,39.124287,东丽区
B0FFHIQLJH,肯德基(环河北路店),快餐厅,117.418896,39.156209,东丽区
B0JDR5QLFQ,米村拌饭(华明兴福亿家店),快餐厅,117.390706,39.172382,东丽区
B0JR5CVS6I,鱼你在一起(东丽惠山道店 ),快餐厅,117.308762,39.10578,东丽区
B0L2XMXPQ7,柳州肥姨妈大骨螺蛳粉(东丽金钟街店),快餐厅,117.266986,39.208435,东丽区
B001611YAO,麦当劳(空港中心大道餐厅),快餐厅,117.390551,39.158343,东丽区
B0FFFAG5F5,和合谷(天津燕莎奥特莱斯店),快餐厅,117.398117,39.160323,东丽区
B0I0SHH0BK,秦伟伟兰州牛肉面(天津东丽空港店),快餐厅,117.392204,39.157968,东丽区
B0LGRGDQ7M,李先生牛肉面大王(利津路店),快餐厅,117.307705,39.086571,东丽区
B0FFHWJ1A0,汉堡王(天津复地湖滨),快餐厅,117.402383,39.159565,东丽区
B0FFIA6V32,美玲餐厅,快餐厅,117.392498,39.157616,东丽区
B0K0FXONUT,赵财财·煲仔饭·肥汁米线(空港奥莱店),快餐厅,117.397116,39.160146,东丽区
B0FFIXYMH5,初名饺子(SM广场店),快餐厅,117.420025,39.158025,东丽区
B001612D9C,麦当劳(一纬路得来速餐厅),快餐厅,117.360516,39.077929,东丽区
B0H2A792RC,梨花牛肉汤(SM天津滨海城市广场店),快餐厅,117.419025,39.156163,东丽区
B0L2L7P2FU,顽皮姥爷吃货铺东丽华明店,快餐厅,117.366686,39.173539,东丽区
B0FFL7LMWB,七食九号食堂(东丽空港店),快餐厅,117.392226,39.157917,东丽区
B0FFKU4ITH,汉堡王(天津保利店),快餐厅,117.26292,39.170496,东丽区
B0HD3ORW3N,天津自贸试验区鲅鱼湘水饺店,快餐厅,117.39611,39.156079,东丽区
B0FFIBC59T,老胜香包子铺(盛誉商务大厦店),快餐厅,117.396538,39.158431,东丽区
B0FFH5YWZ7,吉野家(天津空港),快餐厅,117.391775,39.157904,东丽区
B0FFH6WMJQ,麦当劳(辅仁路餐厅),快餐厅,117.386454,39.168378,东丽区
B0M6M7UQFJ,和府捞面(SM天津滨海城市广场店),快餐厅,117.419487,39.156717,东丽区
B0FFKPG51O,均霞小吃,快餐厅,117.300652,39.135745,东丽区
B0FFG0TYE7,绝味鸭脖(利津路店),快餐厅,117.308445,39.088016,东丽区
B0FFIAOOM8,汉堡王(天津汇城广场),快餐厅,117.306736,39.084138,东丽区
B0L3XO1V1C,赵阗阗生烫牛肉米线,快餐厅,117.308346,39.089537,东丽区
B0G1ZB19W1,知驴味驴肉火烧(东丽店),快餐厅,117.351885,39.079351,东丽区
B0HRMNJJFY,阿香米线(天津东丽万达餐厅),快餐厅,117.324225,39.081025,东丽区
B001612UCQ,麦当劳(中环西路得来速餐厅),快餐厅,117.374442,39.157487,东丽区
B0I1T7F8NC,赵财记·肠粉·煲仔饭(Sm广场店),快餐厅,117.419901,39.15757,东丽区
B0FFKQN8AV,亚惠美食广场(SM天津滨海城市广场店),快餐厅,117.419557,39.156551,东丽区
B0JUZ5ELXU,福记大馅蒸饺(瑞航广场店),快餐厅,117.395896,39.157791,东丽区
B0FFHWU7XQ,必胜客(SM天津滨海城市广场店),快餐厅,117.419456,39.157995,东丽区
B0KDGKDJEF,高胖妹面庄(SM天津滨海城市广场店),快餐厅,117.419996,39.157273,东丽区
B0KU97T2N4,和府捞面(东丽万达广场店),快餐厅,117.324625,39.080925,东丽区
B0I3CANRUO,米村拌饭(东丽湖万科里店),快餐厅,117.505914,39.183296,东丽区
B0JD5S6RS1,麦当劳(松江津滨置地广场店),快餐厅,117.30656,39.115274,东丽区
B0KKOURYZ5,誉泰祥全羊汤(金钟街店),快餐厅,117.26976,39.204383,东丽区
B0FFFWF50Z,胖子大肚水饺锅贴(雪山路),快餐厅,117.294088,39.114917,东丽区
B001615L6I,小镇食堂美食城,快餐厅,117.492756,39.181848,东丽区
B0FFFG00HM,必胜客(先锋路店),快餐厅,117.306828,39.084436,东丽区
B0H1VHRIF8,弄堂小笼包(空港SM店),快餐厅,117.418259,39.157502,东丽区
B0L04ZX8CS,和府捞面(滨海机场店),快餐厅,117.363902,39.129559,东丽区
B0G1B499DD,麦当劳(金钟新城生态社区店),快餐厅,117.271122,39.201755,东丽区
B0K36DFI1I,犇兰兰州牛肉面(天津王府井奥莱店),快餐厅,117.396988,39.160103,东丽区
B0FFGIF3QQ,进忠拉面(万隆花园1区店),快餐厅,117.280809,39.123991,东丽区
B0L3DR60UH,醉面(天津东丽万达店),快餐厅,117.324975,39.081275,东丽区
