poi_id,name,lon,lat,connect_to,connect_type,d_branch
B0H3TXOXS0,菜鸟驿站(橡树湾仰润轩店),117.4005,39.17333,3-8,edge,545.7037910421129
B0HGU5FHN2,天津市津南区川宇物流有限公司,117.435572,39.057126,3-7,edge,1796.025974032452
B0JAYUGHRG,天津赛昕物流,117.354475,39.223825,3-8,edge,886.3851697924141
B0FFKBVX9E,菜鸟驿站(悦和里店),117.258626,39.20358,8-9,edge,2059.7909510089626
B0KDG5HS5O,久远物流天津分公司,117.405496,39.176732,3-8,edge,1103.1589336580214
B0GKS5LBR7,冯岩顺通,117.356503,39.228856,3-8,edge,1365.355440209984
B0FFHA2BXF,叶水福天津空港物流园(东区),117.373823,39.15338,3-8,edge,2655.5705181302064
B0HRVOE9TL,极兔速递天津东丽大毕庄网点(金河家园店),117.279085,39.208318,8-9,edge,1483.443770493436
B0KUJXN69I,菜鸟驿站(仁欣家园店),117.410526,39.07017,3-7,edge,3280.723593665643
B0IKKAQ1JA,尚妍养生,117.401025,39.149875,3-7,edge,806.050790273399
B0IUGAKPIW,康吉医疗器械,117.328224,39.088629,0,center,1765.256443605048
B0IUTH4DEV,天津西图之美医疗器械科技有限公司,117.393212,39.129074,3-7,edge,2282.3457855796673
B0KRJ1BN61,乾亿医疗器械(天津店),117.395946,39.146807,3-7,edge,1343.0178914611633
B0016164IH,中国外运华北有限公司,117.213703,39.117424,1-2,edge,714.3263554630965
B0J3T5LYC8,天津外代货运有限公司,117.216225,39.119825,1-4,edge,613.3089923959711
B001611OMC,顺丰速运(荣业大街店),117.185422,39.126695,1-6,edge,717.1330978629009
B0FFG07M5G,顺丰速运(大沽北路店),117.211461,39.122144,1-4,edge,372.1086477090553
B0G3M7ZKLU,顺丰速运(新华路店),117.193535,39.126053,1-6,edge,343.4309769209273
B0FFIDRRTY,德邦快递(天津和平区河南路经营分部),117.193189,39.125167,1-5,edge,284.17206355590616
B0GDU97BXE,菜鸟驿站(鸿记里小区店),117.195768,39.124985,1,center,235.95077087539485
B00160DB0C,中国邮政(山西路邮政所),117.202048,39.119535,1-2,edge,250.50096052838134
B001616681,汉阳道邮政所,117.192171,39.11316,1-5,edge,747.7413791553553
B0IUP71Q0F,中国邮政(开封道邮政所),117.217201,39.115332,1-2,edge,886.7679211982146
B0K3MCSUSA,顺丰速运(西康路店),117.18752,39.106266,1-5,edge,1001.8592448873446
B0IUCGJ7NB,顺丰速运(海信广场店),117.217729,39.117786,1-4,edge,834.1807212732723
B0JRN5DXXT,顺丰速运(昆明路店),117.180717,39.109803,1-5,edge,367.19230208300166
B0G2UH3LO9,宜昌南里熊猫驿站,117.187868,39.107444,1-5,edge,929.6228437704101
B0FFMETJ52,菜鸟驿站(树德里店),117.186749,39.114319,1-5,edge,290.5467223212471
B0FFHD8BMS,菜鸟驿站(天津建津里15号增1号店),117.182832,39.111633,1-5,edge,300.20907270353064
B0FFH5PT0M,菜鸟驿站(卫华里小区店),117.182573,39.103155,1-5,edge,974.9543036064996
B0FFH44P05,佳怡国际,117.179952,39.110524,1-5,edge,279.61857958766035
B0FFF6X4Y2,申通快递(世昌里小区店),117.189947,39.116265,1-5,edge,360.94725255353194
B0FFF5773L,申通快递(同安道分点),117.183816,39.102464,1-5,edge,1103.416739557625
B0016072CJ,中国邮政(滨江道支局),117.202477,39.12786,1-9,edge,284.178126356776
B0L1TS3DCH,顺丰速运(赛顿快递服务中心),117.194,39.106,1-5,edge,1404.637210139037
B0K62SAY7V,极兔速递(天津和平吴家窑网点),117.189635,39.112344,1-5,edge,621.742861564039
B0FFHNKRNM,菜鸟驿站(吴家窑二号路店),117.191125,39.104325,1-5,edge,1372.305415517531
B0FFGZGPNJ,中通快递(金伦公寓店),117.182398,39.12474,1-5,edge,823.6681846913342
B0FFHR1GZ5,中国邮政(宜昌道邮政所),117.187409,39.108282,1-5,edge,838.932350883198
B0HUJO2EB9,菜鸟驿站(天津和平区明筑轩2号楼底商店),117.18174,39.12712,1-6,edge,874.4243076252048
B0I2OXV0A7,菜鸟驿站(新汇华庭店),117.187625,39.134925,1-6,edge,269.47822864144484
B0IA3XKSIV,圆通妈妈驿站(蓉芳里小区店),117.186089,39.128121,1-6,edge,550.1732979436625
B0JUHHTNW2,天津圣世特物流有限公司,117.198525,39.118525,1-2,edge,424.5611362510167
B0GROL6XLZ,菜鸟驿站(天津市哈密道115号店),117.193084,39.123121,1-5,edge,73.64884477925413
B0G1958IJC,菜鸟驿站(吉利花园店),117.192094,39.117722,1-5,edge,323.4981576326948
B0GDX9RKLI,菜鸟驿站(银行里小区店),117.183284,39.109858,1-5,edge,460.71180430517205
B0IAVAE26V,圆通速递(昆明路店),117.18996,39.116836,1-5,edge,299.4632407103467
